ComputerTime,AIN0,FIO0,FIO2
1686855637080,1.81343,1,0
1686855637080,1.81399,1,0
1686855637080,1.81454,1,0
1686855637080,1.81415,1,0
1686855637080,1.81462,1,0
1686855637080,1.81446,1,0
1686855637080,1.81415,1,0
1686855637080,1.8143,1,0
1686855637080,1.81367,1,0
1686855637080,1.81422,1,0
1686855637080,1.81201,1,0
1686855637080,1.81367,1,0
1686855637080,1.81399,1,0
1686855637080,1.81375,1,0
1686855637080,1.81438,1,0
1686855637080,1.81422,1,0
1686855637080,1.8143,1,0
1686855637080,1.81367,1,0
1686855637080,1.81407,1,0
1686855637080,1.81415,1,0
1686855637080,1.81454,1,0
1686855637080,1.81359,1,0
1686855637080,1.81438,1,0
1686855637080,1.81454,1,0
1686855637080,1.81359,1,0
1686855637080,1.81296,1,0
1686855637080,1.81383,1,0
1686855637080,1.81399,1,0
1686855637080,1.81138,1,0
1686855637080,1.81343,1,0
1686855637080,1.81272,1,0
1686855637080,1.81296,1,0
1686855637080,1.81272,1,0
1686855637080,1.81367,1,0
1686855637080,1.81328,1,0
1686855637080,1.81272,1,0
1686855637080,1.81249,1,0
1686855637080,1.81209,1,0
1686855637080,1.81272,1,0
1686855637080,1.81391,1,0
1686855637080,1.81272,1,0
1686855637080,1.81351,1,0
1686855637080,1.81328,1,0
1686855637080,1.81391,1,0
1686855637080,1.8132,1,0
1686855637080,1.8132,1,0
1686855637080,1.81162,1,0
1686855637080,1.81391,1,0
1686855637080,1.81328,1,0
1686855637080,1.81367,1,0
1686855637080,1.81304,1,0
1686855637080,1.81336,1,0
1686855637080,1.81343,1,0
1686855637080,1.81217,1,0
1686855637080,1.81375,1,0
1686855637080,1.81359,1,0
1686855637080,1.81257,1,0
1686855637080,1.81296,1,0
1686855637080,1.81343,1,0
1686855637080,1.81501,1,1
1686855637080,1.81501,1,1
1686855637080,1.81494,1,1
1686855637080,1.81304,1,1
1686855637080,1.81391,1,1
1686855637080,1.81178,1,0
